zdaid;zdaname;zdatype;zdapostalregion;zdatown
47205;guerard - la celle-sur-morin;railstation;77219;guerard
473306;garges - sarcelles;onstreettram;95585;sarcelles
47238;fontenay-sous-bois;railstation;94033;fontenay-sous-bois
47247;saint-mande;metrostation;94067;saint-mande
59325;blumenthal;onstreettram;93031;epinay-sur-seine
473766;villejuif - louis aragon;onstreettram;94076;villejuif
473468;la fraternelle;onstreettram;94065;rungis
58784;auguste perret (cimetiere parisien);onstreettram;94021;chevilly-larue
44838;soleil levant;onstreettram;92023;clamart
43013;les flanades;onstreettram;95585;sarcelles
45482;honore de balzac;onstreettram;75117;paris 17e
473705;porte de versailles - parc des expositions;onstreettram;75115;paris 15e
45329;montsouris;onstreettram;75114;paris 14e
43462;jean moulin;onstreettram;75114;paris 14e
42387;brancion;onstreettram;75115;paris 15e
44678;parc pierre lagravere;onstreettram;92025;colombes
43765;les moulineaux;onstreettram;92040;issy-les-moulineaux
462395;la defense (grande arche);onstreettram;92062;puteaux
43420;jacques-henri lartigue;onstreettram;92040;issy-les-moulineaux
47355;la noue;onstreettram;92078;villeneuve-la-garenne
47322;esbly;railstation;77171;esbly
47325;montry - conde;railstation;77315;montry
47327;couilly - saint-germain - quincy;railstation;77413;saint-germain-sur-morin
47412;la garenne-colombes;railstation;92025;colombes
47447;conflans-sainte-honorine;railstation;78172;conflans-sainte-honorine
44892;stade charlety - porte de gentilly;onstreettram;75113;paris 13e
47482;nanteuil - saacy;railstation;77397;saacy-sur-marne
44861;saint-denis - porte de paris;onstreettram;93066;saint-denis
47484;isles - armentieres - congis;railstation;77231;isles-les-meldeuses
47486;lizy-sur-ourcq;railstation;77257;lizy-sur-ourcq
47491;crouy-sur-ourcq;railstation;77148;crouy-sur-ourcq
47517;bouffemont - moisselles;railstation;95091;bouffemont
47522;villaines;railstation;95660;villaines-sous-bois
47524;belloy - saint-martin;railstation;95056;belloy-en-france
44914;suresnes longchamp;onstreettram;92073;suresnes
47525;viarmes;railstation;95652;viarmes
47528;luzarches;railstation;95352;luzarches
47530;nointel - mours;railstation;95452;nointel
47533;bruyeres-sur-oise;railstation;95116;bruyeres-sur-oise
47580;frepillon;railstation;95256;frepillon
47582;mery-sur-oise;railstation;95394;mery-sur-oise
47585;meriel;railstation;95392;meriel
47588;valmondois;railstation;95120;butry-sur-oise
47589;l'isle-adam - parmain;railstation;95480;parmain
47590;champagne-sur-oise;railstation;95134;champagne-sur-oise
47591;chaponval;railstation;95039;auvers-sur-oise
47595;pont petit;railstation;95572;saint-ouen-l'aumône
47596;gare epluches;railstation;95572;saint-ouen-l'aumône
47599;saint-ouen-l'aumône;railstation;95572;saint-ouen-l'aumône
47603;herblay;railstation;95306;herblay
47654;bois-le-roi;railstation;77037;bois-le-roi
47665;savigny-le-temple - nandy;railstation;77445;savigny-le-temple
47669;lieusaint - moissy;railstation;77251;lieusaint
47684;montgeron - crosne;railstation;91421;montgeron
47767;sevres - ville-d'avray;railstation;92072;sevres
47770;garches - marnes-la-coquette;railstation;92033;garches
47790;bougival;railstation;78126;la celle-saint-cloud
47826;villejuif leo lagrange;metrostation;94076;villejuif
47874;poissy;railstation;78498;poissy
47875;argenteuil;railstation;95018;argenteuil
47876;goussainville;railstation;95280;goussainville
47877;rosny-sous-bois;railstation;93064;rosny-sous-bois
47878;parc des expositions;railstation;93078;villepinte
47879;neuville universite;railstation;95450;neuville-sur-oise
47880;la celle-saint-cloud;railstation;78126;la celle-saint-cloud
47881;les mureaux;railstation;78440;les mureaux
47882;epône - mezieres;railstation;78217;epône
47883;chaville - velizy;railstation;78686;viroflay
47884;fontenay-le-fleury;railstation;78242;fontenay-le-fleury
47885;plaisir - grignon;railstation;78490;plaisir
47886;nogent-sur-marne;railstation;94052;nogent-sur-marne
47888;gif-sur-yvette;railstation;91272;gif-sur-yvette
47889;saint-remy-les-chevreuse;railstation;78575;saint-remy-les-chevreuse
47890;gallieni;metrostation;93006;bagnolet
47891;fort d'aubervilliers;metrostation;93001;aubervilliers
47894;crecy-la-chapelle;railstation;77142;crecy-la-chapelle
47895;boutigny;railstation;91099;boutigny-sur-essonne
47897;cergy saint-christophe;railstation;95127;cergy
47898;ermont - eaubonne;railstation;95219;ermont
47899;mennecy;railstation;91386;mennecy
47900;val de fontenay;railstation;94033;fontenay-sous-bois
47901;le raincy - villemomble - montfermeil;railstation;93077;villemomble
47903;garancieres - la queue;railstation;78265;garancieres
47904;villabe;railstation;91659;villabe
47905;bouray;railstation;91330;lardy
47906;evry - courcouronnes;railstation;91228;evry
47907;pont de rungis aeroport d'orly;railstation;94073;thiais
47909;melun;railstation;77288;melun
47910;montereau;railstation;77305;montereau-fault-yonne
47911;fontainebleau - avon;railstation;77014;avon
47914;longueville;railstation;77260;longueville
47915;acheres grand cormier;railstation;78551;saint-germain-en-laye
47916;andresy;railstation;78015;andresy
47917;angerville;railstation;91016;angerville
47918;auvers-sur-oise;railstation;95039;auvers-sur-oise
47920;ermont halte;railstation;95219;ermont
47921;orgerus - behoust;railstation;78465;orgerus
47922;us;railstation;95625;us
47923;becon les bruyeres;railstation;92026;courbevoie
47924;boussy-saint-antoine;railstation;91097;boussy-saint-antoine
47925;breuillet - bruyeres-le-chatel;railstation;91105;breuillet
47926;gare de chailly boissy le chatel;railstation;77070;chailly-en-brie
47927;gare de chamarande;railstation;91132;chamarande
47928;changis - saint-jean;railstation;77084;changis-sur-marne
47929;chanteloup-les-vignes;railstation;78138;chanteloup-les-vignes
47930;chars;railstation;95142;chars
47931;gare de chauffry;railstation;77436;saint-simeon
47932;coignieres;railstation;78168;coignieres
47934;gravigny balizy;railstation;91345;longjumeau
47935;houdan;railstation;78310;houdan
47937;l'etang-la-ville;railstation;78224;l'etang-la-ville
47938;la ferte-gaucher;railstation;77182;la ferte-gaucher
47939;la norville - saint-germain-les-arpajon;railstation;91457;la norville
47940;massy - verrieres;railstation;91377;massy
47942;mortcerf;railstation;77318;mortcerf
47943;mouroux;railstation;77320;mouroux
47944;nezel - aulnay;railstation;78451;nezel
47945;petit vaux;railstation;91216;epinay-sur-orge
47946;presles - courcelles;railstation;95504;presles
47948;ris-orangis;railstation;91521;ris-orangis
47949;santeuil - le perchay;railstation;95584;santeuil
47950;sermaise;railstation;91593;sermaise
47951;seugy;railstation;95594;seugy
47952;saint-cheron;railstation;91540;saint-cheron
47953;saint-mammes;railstation;77419;saint-mammes
47954;saint-nom-la-breteche foret de marly;railstation;78224;l'etang-la-ville
47955;saint-ouen-l'aumône quartier de l'eglise;railstation;95572;saint-ouen-l'aumône
47956;saint-remy-la-vanne;railstation;77432;saint-remy-la-vanne
47957;saint-simeon;railstation;77436;saint-simeon
47958;survilliers - fosses;railstation;95250;fosses
47959;tacoignieres - richebourg;railstation;78605;tacoignieres
47960;thieux - nantouillet;railstation;77462;thieux
47961;thomery;railstation;77186;fontainebleau
47962;trilport;railstation;77475;trilport
47963;vaucelles;railstation;95607;taverny
47964;vernouillet - verneuil;railstation;78642;verneuil-sur-seine
47966;villennes-sur-seine;railstation;78672;villennes-sur-seine
47967;vosves;railstation;77152;dammarie-les-lys
50800;georges pompidou;onstreettram;92023;clamart
52184;saarinen;onstreettram;94065;rungis
50685;guynemer;onstreettram;93066;saint-denis
46450;timbaud;onstreettram;92036;gennevilliers
46100;la courneuve - six routes;onstreettram;93027;la courneuve
47411;charlebourg;onstreettram;92035;la garenne-colombes
50572;cesar;onstreettram;93079;villetaneuse
58640;butte pinson (parc regional);onstreettram;93059;pierrefitte-sur-seine
47968;les noues;railstation;95280;goussainville
479021;germaine tailleferre;onstreettram;94081;vitry-sur-seine
479016;christophe colomb;onstreettram;94054;orly
59249;gilbert bonnemaison;onstreettram;93031;epinay-sur-seine
411283;rougemont chanteloup;onstreettram;93071;sevran
44626;republique - marx dormoy;onstreettram;93046;livry-gargan
43430;leon blum;onstreettram;93046;livry-gargan
43978;hôpital de montfermeil;onstreettram;93047;montfermeil
43128;gargan;onstreettram;93057;les pavillons-sous-bois
479028;watteau - rondenay;onstreettram;94081;vitry-sur-seine
478994;beethoven - concorde;onstreettram;94081;vitry-sur-seine
47969;les vallees;railstation;92025;colombes
48489;orangis bois de l'epine;railstation;91521;ris-orangis
48964;saint-leu-la-foret;railstation;95563;saint-leu-la-foret
49515;porte de versailles;metrostation;75115;paris 15e
51238;bois-colombes;railstation;92009;bois-colombes
51494;osny;railstation;95476;osny
480937;les portes de saint-cyr;onstreettram;78646;versailles
51612;segur;metrostation;75115;paris 15e
479017;chateaudun - barbes;onstreettram;94041;ivry-sur-seine
59147;georges millandy;onstreettram;92048;meudon
51613;louise michel;metrostation;92044;levallois-perret
53783;chatou - croissy;railstation;78146;chatou
53784;le vesinet - centre;railstation;78650;le vesinet
54249;les clairieres de verneuil;railstation;78642;verneuil-sur-seine
57674;petit jouy les loges;railstation;78322;jouy-en-josas
58267;les boullereaux champigny;railstation;94017;champigny-sur-marne
479014;la briqueterie;onstreettram;94041;ivry-sur-seine
44517;porte de la chapelle;onstreettram;75118;paris 18e
58270;champigny;railstation;94068;saint-maur-des-fosses
50566;les beatus;onstreettram;93031;epinay-sur-seine
59327;jean vilar;onstreettram;93079;villetaneuse
58782;coeur d'orly;onstreettram;94054;orly
59053;velizy 2;onstreettram;78640;velizy-villacoublay
59202;vauban;onstreettram;92020;chatillon
44298;paul valery;onstreettram;95585;sarcelles
45629;severine;onstreettram;75120;paris 20e
473484;rosa parks;onstreettram;75119;paris 19e
473476;porte de clichy - tribunal de paris;onstreettram;75117;paris 17e
473692;porte doree;onstreettram;75112;paris 12e
44506;porte d'italie;onstreettram;75113;paris 13e
45214;montempoivre;onstreettram;75112;paris 12e
58730;baron le roy;onstreettram;75112;paris 12e
43729;les fauvelles;onstreettram;92035;la garenne-colombes
44937;theatre gerard philipe;onstreettram;93066;saint-denis
46332;mairie de villeneuve-la-garenne;onstreettram;92078;villeneuve-la-garenne
52382;la ferme;onstreettram;93008;bobigny
43390;hôtel de ville de bobigny;onstreettram;93008;bobigny
47349;gaston roulaud;onstreettram;93008;bobigny
46115;danton;onstreettram;93027;la courneuve
42142;asnieres - quatre routes;onstreettram;92004;asnieres-sur-seine
58288;les yvris noisy-le-grand;railstation;93051;noisy-le-grand
58471;villejuif paul vaillant-couturier;metrostation;94076;villejuif
58497;front populaire;metrostation;93066;saint-denis
58498;rosa parks;railstation;75119;paris 19e
58566;gare saint-lazare;railstation;75108;paris 8e
58572;magenta;railstation;75110;paris 10e
58578;montparnasse bienvenue;metrostation;75115;paris 15e
43285;georges brassens;onstreettram;75115;paris 15e
42847;didot;onstreettram;75114;paris 14e
58581;villiers montbarbin;railstation;77142;crecy-la-chapelle
58716;odeon;metrostation;75106;paris 6e
58717;rue du bac;metrostation;75107;paris 7e
58718;haussmann saint-lazare;railstation;75109;paris 9e
58725;parmentier;metrostation;75111;paris 11e
58727;filles du calvaire;metrostation;75103;paris 3e
58728;bercy;metrostation;75112;paris 12e
58757;champ de mars tour eiffel;railstation;75115;paris 15e
58759;charles de gaulle - etoile;railstation;75117;paris 17e
58767;bolivar;metrostation;75119;paris 19e
58774;massy - palaiseau;railstation;91377;massy
58792;sucy - bonneuil;railstation;94071;sucy-en-brie
58793;villepinte;railstation;93078;villepinte
58798;pont du garigliano - hôpital europeen g. pompidou;railstation;75115;paris 15e
58873;brunoy;railstation;91114;brunoy
58874;bussy-saint-georges;railstation;77058;bussy-saint-georges
58875;rueil-malmaison;railstation;92063;rueil-malmaison
58879;chelles - gournay;railstation;77108;chelles
58937;noisy - champs;railstation;93051;noisy-le-grand
58955;dordives;railstation;45127;dordives
59038;vernon - giverny;railstation;27681;vernon
59049;auneau;railstation;28317;roinville
59206;sceaux;railstation;92071;sceaux
59301;gisors;railstation;27284;gisors
59302;maintenon;railstation;28227;maintenon
59370;malesherbes;metrostation;75117;paris 17e
59379;mabillon;metrostation;75106;paris 6e
411317;beauvais;railstation;60057;beauvais
411326;precy-sur-oise;railstation;60513;precy-sur-oise
411329;saint-leu-d'esserent;railstation;60584;saint-leu-d'esserent
411332;boran-sur-oise;railstation;60086;boran-sur-oise
411338;trie-chateau;railstation;60644;trie-chateau
411342;liancourt-saint-pierre;railstation;60361;liancourt-saint-pierre
411345;chaumont-en-vexin;railstation;60143;chaumont-en-vexin
411348;lavilletertre;railstation;60356;lavilletertre
411362;bueil;railstation;27119;bueil
411365;evreux normandie;railstation;27229;evreux
411372;la ferte-milon;railstation;2307;la ferte-milon
411375;mareuil-sur-ourcq;railstation;60380;mareuil-sur-ourcq
411378;chateau-thierry;railstation;2168;chateau-thierry
411381;chezy-sur-marne;railstation;2186;chezy-sur-marne
411384;nogent-l'artaud - charly;railstation;2555;nogent-l'artaud
411387;ormoy-villers;railstation;60479;ormoy-villers
411390;nanteuil-le-haudouin;railstation;60446;nanteuil-le-haudouin
411396;crepy-en-valois;railstation;60176;crepy-en-valois
411405;le plessis-belleville;railstation;60500;le plessis-belleville
411418;la borne blanche;railstation;60482;orry-la-ville
411421;orry-la-ville - coye;railstation;60482;orry-la-ville
411428;chantilly - gouvieux;railstation;60141;chantilly
411440;creil;railstation;60175;creil
411443;chateaudun;railstation;28088;chateaudun
411446;bonneval;railstation;28051;bonneval
411449;voves;railstation;28422;les villages voveens
411452;sens;railstation;89387;sens
411455;etigny - veron;railstation;89160;etigny
411458;pont-sur-yonne;railstation;89309;pont-sur-yonne
411461;champigny-sur-yonne;railstation;89074;champigny
411464;villeneuve-la-guyard;railstation;89460;villeneuve-la-guyard
411467;joigny;railstation;89206;joigny
411473;saint-julien du sault;railstation;89348;saint-julien-du-sault
411476;villeneuve-sur-yonne;railstation;89464;villeneuve-sur-yonne
411479;laroche - migennes;railstation;89257;migennes
411482;montargis;railstation;45208;montargis
411485;malesherbes;railstation;45191;le malesherbois
411488;ferrieres - fontenay;railstation;45148;fontenay-sur-loing
411492;dreux;railstation;28134;dreux
411495;marchezais - broue;railstation;28062;broue
411498;jouy;railstation;28201;jouy
411501;saint-piat;railstation;28357;saint-piat
411504;la villette saint-prest;railstation;28358;saint-prest
411507;chartres;railstation;28085;chartres
411511;epernon;railstation;28140;epernon
412743;saint-denis;railstation;93066;saint-denis
413433;malakoff - plateau de vanves;metrostation;92046;malakoff
415091;pont de l'alma;railstation;75107;paris 7e
415093;neuilly porte maillot;railstation;75117;paris 17e
415484;egly;railstation;91207;egly
417675;les halles;metrostation;75101;paris 1er
422065;le val d'or;railstation;92064;saint-cloud
425987;rue des boulets;metrostation;75111;paris 11e
427870;rambouillet;railstation;78517;rambouillet
427872;lagny - thorigny;railstation;77464;thorigny-sur-marne
461504;saint-quentin en yvelines - montigny-le-bretonneux;railstation;78423;montigny-le-bretonneux
462351;denfert-rochereau;metrostation;75114;paris 14e
462352;gare d'austerlitz;metrostation;75105;paris 5e
462357;issy val de seine;railstation;92040;issy-les-moulineaux
462358;nation;metrostation;75111;paris 11e
462369;saint-michel;metrostation;75106;paris 6e
462371;javel - andre citroen;metrostation;75115;paris 15e
462374;saint-lazare;metrostation;75108;paris 8e
462375;havre-caumartin;metrostation;75109;paris 9e
462376;pereire;metrostation;75117;paris 17e
462388;viroflay rive gauche;railstation;78686;viroflay
462394;gare du nord;railstation;75110;paris 10e
462398;aeroport cdg 1 (terminal 3) - rer;railstation;93073;tremblay-en-france
462901;ozoir-la-ferriere;railstation;77350;ozoir-la-ferriere
462941;gare du nord;metrostation;75110;paris 10e
463329;basilique de saint-denis;metrostation;93066;saint-denis
463354;balard;metrostation;75115;paris 15e
464040;le vert de maisons;railstation;94046;maisons-alfort
470195;gare de lyon;railstation;75112;paris 12e
470519;gare de l'est;railstation;75110;paris 10e
470524;hôtel de ville;metrostation;75104;paris 4e
470540;invalides;railstation;75107;paris 7e
470546;la courneuve - 8 mai 1945;metrostation;93027;la courneuve
470548;la defense (grande arche);metrostation;92062;puteaux
470549;la defense;railstation;92062;puteaux
473109;maisons-laffitte;railstation;78358;maisons-laffitte
473111;bibliotheque francois mitterrand;metrostation;75113;paris 13e
473159;deuil - montmagny;railstation;95197;deuil-la-barre
44603;remise a jorelle;onstreettram;93010;bondy
473364;aeroport charles de gaulle 2 (terminal 2);railstation;93073;tremblay-en-france
473456;porte d'italie;metrostation;75113;paris 13e
473458;saint-denis - porte de paris;metrostation;93066;saint-denis
473459;porte de la chapelle;metrostation;75118;paris 18e
473461;porte de la villette;metrostation;75119;paris 19e
473477;porte de clichy;metrostation;75117;paris 17e
473506;louveciennes;railstation;78350;louveciennes
473676;pont de levallois - becon;metrostation;92044;levallois-perret
473843;cite universitaire;railstation;75114;paris 14e
473873;orly 4;railstation;91479;paray-vieille-poste
473874;antony;metrostation;92002;antony
473875;nation;railstation;75112;paris 12e
473890;denfert-rochereau;railstation;75114;paris 14e
474069;lozere;railstation;91477;palaiseau
474082;noisy-le-grand - mont d'est;railstation;93051;noisy-le-grand
477682;charles de gaulle - etoile;metrostation;75117;paris 17e
479035;paris-bercy bourgogne - pays d'auvergne;railstation;75112;paris 12e
479053;chateau landon;metrostation;75110;paris 10e
479055;jules joffrin;metrostation;75118;paris 18e
479056;olympiades;metrostation;75113;paris 13e
479059;rosny-sur-seine;railstation;78531;rosny-sur-seine
480287;pont cardinet;metrostation;75117;paris 17e
480289;saint-ouen;metrostation;93070;saint-ouen
483278;barbara;metrostation;92007;bagneux
483280;bagneux - lucie aubrac;metrostation;92007;bagneux
483899;mairie d'aubervilliers;metrostation;93001;aubervilliers
483901;aime cesaire;metrostation;93001;aubervilliers
426089;pierrefitte - stains;onstreettram;93059;pierrefitte-sur-seine
